City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
181,Raiwind,PK,2019-12-29 16:30:12,31.24,74.22,42.8,87,1,0.31,mist,0,0
182,Geraldton,CA,2019-12-29 16:30:12,49.72,-86.95,17.6,85,90,17.22,overcast clouds,0,0
183,Umba,RU,2019-12-29 16:30:13,66.69,34.34,35.33,94,100,23.11,light rain,0.31,0
184,Imbituba,BR,2019-12-29 16:30:13,-28.24,-48.67,89.6,55,62,11.41,broken clouds,0,0
185,Gastonia,US,2019-12-29 16:30:13,35.26,-81.19,66.2,88,90,6.93,overcast clouds,0,0
186,Dunedin,NZ,2019-12-29 16:29:41,-45.87,170.5,57.0,80,100,18.99,overcast clouds,0,0
187,Oban,GB,2019-12-29 16:30:14,56.42,-5.47,54.0,76,90,19.46,light intensity drizzle rain,0,0
188,Sept-Iles,CA,2019-12-29 16:30:14,50.2,-66.38,23.0,53,40,14.99,scattered clouds,0,0
189,Port Blair,IN,2019-12-29 16:25:31,11.67,92.75,81.07,78,0,14.47,clear sky,0,0
190,Maine-Soroa,NE,2019-12-29 16:30:14,13.21,12.02,68.86,17,23,9.53,few clouds,0,0
191,Georgetown,GY,2019-12-29 16:28:44,6.8,-58.16,86.0,70,40,11.41,scattered clouds,0,0
192,Floresti,MD,2019-12-29 16:30:15,47.89,28.3,28.96,91,100,10.18,light snow,0,0.19
193,Rumuruti,KE,2019-12-29 16:30:15,0.26,36.54,61.36,79,86,10.6,light rain,0.19,0
194,Antofagasta,CL,2019-12-29 16:30:15,-23.65,-70.4,69.8,73,20,14.99,few clouds,0,0
195,Tabou,CI,2019-12-29 16:30:16,4.42,-7.36,80.37,84,27,4.63,light rain,1.5,0
196,Nikolskoye,RU,2019-12-29 16:30:16,59.7,30.79,27.0,79,75,13.42,broken clouds,0,0
197,Souillac,FR,2019-12-29 16:30:16,45.6,-0.6,46.4,81,99,4.7,overcast clouds,0,0
198,Puerto Ayora,EC,2019-12-29 16:28:01,-0.74,-90.35,78.8,74,75,9.17,broken clouds,0,0
199,Plouzane,FR,2019-12-29 16:30:17,48.38,-4.62,48.2,76,18,3.36,few clouds,0,0
200,Miri,NG,2019-12-29 16:28:28,10.31,9.75,85.87,9,56,7.18,broken clouds,0,0
201,Monteagudo,BO,2019-12-29 16:30:17,-19.8,-63.96,89.6,49,40,5.82,scattered clouds,0,0
202,Deep River,CA,2019-12-29 16:30:17,46.1,-77.49,28.0,85,1,5.66,clear sky,0,0
203,North Branch,US,2019-12-29 16:28:55,45.51,-92.98,41.0,93,90,5.82,light rain,0,0
204,Komsomolskiy,RU,2019-12-29 16:30:18,67.55,63.78,15.13,93,100,21.03,light snow,0,1.38
205,Santiago Del Estero,AR,2019-12-29 16:30:18,-27.8,-64.26,92.19,50,100,10.38,moderate rain,8.69,0
206,Kavieng,PG,2019-12-29 16:30:19,-2.57,150.8,83.01,74,22,8.08,few clouds,0,0
207,Diplo,PK,2019-12-29 16:30:19,24.47,69.59,61.43,13,0,10.87,clear sky,0,0
208,Bereda,ES,2019-12-29 16:30:19,43.27,-7.54,62.01,48,45,2.24,scattered clouds,0,0
209,Sarankhola,BD,2019-12-29 16:30:19,22.31,89.79,60.93,60,0,5.99,clear sky,0,0
210,Carrollton,US,2019-12-29 16:28:00,33.58,-85.08,70.0,88,90,8.05,overcast clouds,0,0
211,Darab,IR,2019-12-29 16:30:20,28.75,54.55,52.41,59,0,1.77,clear sky,0,0
212,Ternate,PH,2019-12-29 16:30:20,14.29,120.72,80.6,74,75,9.15,broken clouds,0,0
213,Byron Bay,AU,2019-12-29 16:29:49,-28.65,153.62,73.0,77,40,5.82,scattered clouds,0,0
214,Podporozhye,RU,2019-12-29 16:30:20,60.91,34.16,22.48,82,100,11.25,overcast clouds,0,0
215,Grand Gaube,MU,2019-12-29 16:30:20,-20.01,57.66,77.0,94,75,11.41,light intensity shower rain,0,0
216,Severo-Kurilsk,RU,2019-12-29 16:27:56,50.68,156.12,25.45,87,100,16.55,light snow,0,1.13
217,Hualmay,PE,2019-12-29 16:30:21,-11.1,-77.61,79.02,56,48,10.71,scattered clouds,0,0
218,Paamiut,GL,2019-12-29 16:30:21,61.99,-49.67,23.88,68,11,7.54,few clouds,0,0
219,Marion,US,2019-12-29 16:30:21,35.21,-90.2,55.99,93,90,10.29,light rain,0,0
220,Mulege,MX,2019-12-29 16:30:22,26.88,-111.98,62.02,49,0,15.75,clear sky,0,0
221,Pacific Grove,US,2019-12-29 16:30:22,36.62,-121.92,51.01,93,75,3.36,broken clouds,0,0
222,Avarua,CK,2019-12-29 16:25:57,-21.21,-159.78,77.0,73,100,8.05,light rain,0.81,0
