City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Yaan,NG,2019-12-29 05:49:46,7.38,8.57,68.04,26,0,5.26
117,Jacareacanga,BR,2019-12-29 05:49:46,-6.22,-57.76,73.04,97,100,1.74
118,Dikson,RU,2019-12-29 05:46:00,73.51,80.55,-18.33,92,0,19.51
119,Khatanga,RU,2019-12-29 05:46:04,71.98,102.47,-21.57,93,97,2.95
120,Wanaka,NZ,2019-12-29 05:49:47,-44.7,169.14,48.07,83,99,9.24
121,Ulaangom,MN,2019-12-29 05:49:47,49.98,92.07,-7.69,96,100,3.18
122,Coquimbo,CL,2019-12-29 05:45:52,-29.95,-71.34,59.0,87,20,2.24
123,Rocha,UY,2019-12-29 05:49:48,-34.48,-54.34,72.21,92,52,3.24
124,Tessalit,ML,2019-12-29 05:45:57,20.2,1.01,58.64,21,0,10.6
125,Nazareno,MX,2019-12-29 05:49:48,25.4,-103.42,60.42,20,100,17.98
126,Hermanus,ZA,2019-12-29 05:49:49,-34.42,19.24,69.01,83,100,10.0
127,Mocuba,MZ,2019-12-29 05:49:49,-16.84,36.99,78.89,90,90,5.7
128,Yarmouth,CA,2019-12-29 05:49:49,43.84,-66.12,37.99,64,20,16.11
129,East London,ZA,2019-12-29 05:45:47,-33.02,27.91,66.2,82,40,3.36
130,Khor,RU,2019-12-29 05:49:49,47.88,134.96,-4.16,93,82,1.19
131,Sayyan,YE,2019-12-29 05:49:50,15.17,44.32,55.92,30,19,4.23
132,Broome,GB,2019-12-29 05:46:09,52.47,1.45,45.0,93,97,10.29
133,Evensk,RU,2019-12-29 05:49:50,61.92,159.24,-6.63,48,0,7.85
134,Jamestown,AU,2019-12-29 05:49:50,-33.21,138.6,93.09,22,55,20.69
135,Phan Thiet,VN,2019-12-29 05:49:50,10.93,108.1,86.54,48,0,8.93
136,Nelson Bay,AU,2019-12-29 05:49:51,-32.72,152.14,95.0,23,0,11.41
137,Itarana,BR,2019-12-29 05:49:51,-19.87,-40.88,61.03,95,0,3.42
138,Marsala,IT,2019-12-29 05:49:51,37.8,12.44,52.0,61,20,16.11
139,Walvis Bay,NA,2019-12-29 05:49:51,-22.95,14.51,61.0,87,90,5.82
