City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,La Primavera,AR,89.6,broken clouds,-32.92,-68.67,Huanca Hotel Canino
162,Lasa,CY,55.4,thunderstorm with light rain,34.92,32.53,Lasa Heights Hotel
164,Buraydah,SA,68.0,clear sky,26.33,43.97,Mövenpick Hotel Qassim
165,Pombia,GR,50.0,light rain,35.01,24.87,Olympic Hotel
166,Dalbandin,PK,54.18,clear sky,28.9,64.41,Sanjrani House
167,Saint-Joseph,FR,53.6,broken clouds,43.56,6.97,Hôtel Château de la Tour
168,Buldana,IN,65.17,overcast clouds,20.53,76.18,"Sai Krupa Lawn And Regency, Buldhana"
169,Kinablangan,PH,70.12,light rain,7.69,126.55,Mainit Balete Hot Spring
170,Ponta Do Sol,BR,81.36,light rain,-20.63,-46.0,Hotel Escarpas do Lago
171,Lorengau,PG,82.87,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
172,Praia Da Vitoria,PT,62.6,light intensity shower rain,38.73,-27.07,Hotel Branco I
173,Seoul,KR,41.0,light rain,37.57,126.98,Lotte Hotel Seoul
174,Sweetwater,US,42.01,scattered clouds,32.47,-100.41,Holiday Inn Express & Suites Sweetwater
175,Tikrit,IQ,55.06,clear sky,34.62,43.68,المحامي خضيري الجميلي
176,Elmina,GH,82.9,scattered clouds,5.09,-1.35,The Beach House
177,East London,ZA,78.8,overcast clouds,-33.02,27.91,Tu Casa
178,Kashirskoye,RU,21.2,overcast clouds,51.42,39.61,Trekkholl
179,Jalingo,NG,70.43,clear sky,10.3,10.93,Hajj Camp
180,Te Anau,NZ,52.39,overcast clouds,-45.41,167.72,Kingsgate Hotel Te Anau
181,Raiwind,PK,42.8,mist,31.24,74.22,Khan hotel
182,Geraldton,CA,17.6,overcast clouds,49.72,-86.95,Victoria Bed & Breakfast
183,Umba,RU,35.33,light rain,66.69,34.34,Cedar Grass Beloye More
184,Imbituba,BR,89.6,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
185,Gastonia,US,66.2,overcast clouds,35.26,-81.19,Holiday Inn Express Charlotte West - Gastonia
186,Dunedin,NZ,57.0,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
187,Oban,GB,54.0,light intensity drizzle rain,56.42,-5.47,Regent Hotel
188,Sept-Iles,CA,23.0,scattered clouds,50.2,-66.38,Comfort Inn
189,Port Blair,IN,81.07,clear sky,11.67,92.75,Fortune Resort Bay Island
190,Maine-Soroa,NE,68.86,few clouds,13.21,12.02,
191,Georgetown,GY,86.0,scattered clouds,6.8,-58.16,Kanhai's Center
192,Floresti,MD,28.96,light snow,47.89,28.3,Hotel Flor Far
193,Rumuruti,KE,61.36,light rain,0.26,36.54,Jojas Hotel
194,Antofagasta,CL,69.8,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
195,Tabou,CI,80.37,light rain,4.42,-7.36,Hotel Les Rochers
196,Nikolskoye,RU,27.0,broken clouds,59.7,30.79,Tourist House - Sablino
197,Souillac,FR,46.4,overcast clouds,45.6,-0.6,Jolysable
198,Puerto Ayora,EC,78.8,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
199,Plouzane,FR,48.2,few clouds,48.38,-4.62,Résidence Nemea Iroise Armorique
200,Miri,NG,85.87,broken clouds,10.31,9.75,Focus Guest Inn
201,Monteagudo,BO,89.6,scattered clouds,-19.8,-63.96,Hogar dulce hogar
202,Deep River,CA,28.0,clear sky,46.1,-77.49,Deep River Motel
203,North Branch,US,41.0,light rain,45.51,-92.98,"AmericInn by Wyndham, North Branch"
204,Komsomolskiy,RU,15.13,light snow,67.55,63.78,
206,Kavieng,PG,83.01,few clouds,-2.57,150.8,Nusa Island Retreat
207,Diplo,PK,61.43,clear sky,24.47,69.59,Students Hostel
208,Bereda,ES,62.01,scattered clouds,43.27,-7.54,Pazo de Verdes
209,Sarankhola,BD,60.93,clear sky,22.31,89.79,
210,Carrollton,US,70.0,overcast clouds,33.58,-85.08,Hampton Inn Carrollton
